Economy,Indicator,2017,2018,2019,2020,2021,2022,2023
Japan,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Japan,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Japan,At least LTE/WiMAX,0.99,1.00,1.00,1.00,0.93,0.97,
Japan,At least 5G,,,,0.30,0.93,0.97,
Jersey,At least 2G,,,,,,,
Jersey,At least 3G,,,,,0.99,,
Jersey,At least LTE/WiMAX,,,,,0.94,,
Jersey,At least 5G,,,,,0.00,,
Jordan,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Jordan,At least 3G,0.99,1.00,1.00,1.00,1.00,1.00,
Jordan,At least LTE/WiMAX,0.90,0.99,0.99,0.99,0.99,1.00,
Jordan,At least 5G,,,,,0.00,0.00,
Kazakhstan,At least 2G,0.97,0.97,0.98,0.98,0.98,0.99,
Kazakhstan,At least 3G,0.88,0.88,0.89,0.93,0.96,0.98,
Kazakhstan,At least LTE/WiMAX,0.73,0.75,0.76,0.81,0.84,0.87,
Kazakhstan,At least 5G,,,,,0.00,0.05,
Kenya,At least 2G,0.95,0.96,0.96,0.96,0.97,0.98,
Kenya,At least 3G,0.85,0.86,0.93,0.94,0.95,0.98,
Kenya,At least LTE/WiMAX,0.25,0.35,0.57,0.77,0.94,0.97,
Kenya,At least 5G,,,,,0.00,0.01,
Kiribati,At least 2G,0.72,0.72,0.72,0.73,0.74,0.74,
Kiribati,At least 3G,0.66,0.67,0.71,0.72,0.71,0.73,
Kiribati,At least LTE/WiMAX,0.51,0.53,0.53,0.53,0.64,0.64,
Kiribati,At least 5G,,,,0.00,0.00,0.00,
South Korea,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
South Korea,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
South Korea,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
South Korea,At least 5G,,,,,,,
Kosovo,At least 2G,,,,,,,
Kosovo,At least 3G,,,,,0.95,,
Kosovo,At least LTE/WiMAX,,,,,,,
Kosovo,At least 5G,,,,,,,
Kuwait,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Kuwait,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Kuwait,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Kuwait,At least 5G,,,,0.97,0.92,1.00,
Kyrgyzstan,At least 2G,0.99,0.99,0.99,0.99,0.98,0.99,
Kyrgyzstan,At least 3G,0.75,0.88,0.91,0.91,0.97,0.98,
Kyrgyzstan,At least LTE/WiMAX,0.50,0.70,0.85,0.85,0.96,0.97,
Kyrgyzstan,At least 5G,,,,,0.00,0.00,
Laos,At least 2G,0.94,0.94,0.95,0.95,0.95,,
Laos,At least 3G,0.78,0.78,0.82,0.82,0.85,,
Laos,At least LTE/WiMAX,0.09,0.43,0.43,0.50,0.52,,
Laos,At least 5G,,,,,0.08,,
Latvia,At least 2G,0.99,,0.99,0.99,0.99,0.99,
Latvia,At least 3G,0.99,,0.99,0.99,0.99,0.99,
Latvia,At least LTE/WiMAX,0.95,,0.95,0.95,0.95,0.95,
Latvia,At least 5G,,,,,0.37,0.42,
Lebanon,At least 2G,0.99,1.00,1.00,1.00,1.00,,
Lebanon,At least 3G,0.98,0.98,1.00,1.00,1.00,,
Lebanon,At least LTE/WiMAX,0.98,0.98,0.99,0.99,0.99,,
Lebanon,At least 5G,,,,,0.00,,
Lesotho,At least 2G,0.99,0.98,0.98,0.98,0.95,0.96,
Lesotho,At least 3G,0.98,0.98,0.98,0.98,0.95,0.96,
Lesotho,At least LTE/WiMAX,0.65,0.65,0.67,0.67,0.85,0.85,
Lesotho,At least 5G,,,,,0.00,0.00,
Liberia,At least 2G,0.76,,0.76,0.76,0.76,,
Liberia,At least 3G,0.63,,0.63,0.63,0.63,,
Liberia,At least LTE/WiMAX,0.30,,0.30,0.35,0.35,,
Liberia,At least 5G,,,,,0.00,,
Libya,At least 2G,0.78,,0.78,0.78,0.78,0.98,
Libya,At least 3G,0.78,,0.78,0.78,0.72,0.94,
Libya,At least LTE/WiMAX,0.40,,0.40,0.40,0.40,0.90,
Libya,At least 5G,,,,0.00,0.00,0.00,
Liechtenstein,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Liechtenstein,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Liechtenstein,At least LTE/WiMAX,0.97,0.98,0.98,0.98,0.98,0.98,
Liechtenstein,At least 5G,,,,0.00,0.00,0.00,
Lithuania,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Lithuania,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Lithuania,At least LTE/WiMAX,0.98,0.99,1.00,1.00,1.00,1.00,
Lithuania,At least 5G,,,,0.26,0.32,0.91,
Luxembourg,At least 2G,0.99,0.99,0.99,0.99,0.99,1.00,
Luxembourg,At least 3G,0.99,0.99,0.99,0.99,0.99,1.00,
Luxembourg,At least LTE/WiMAX,0.96,0.97,0.98,0.98,0.99,1.00,
Luxembourg,At least 5G,,,,,0.21,0.98,
Macao,At least 2G,1.00,,1.00,1.00,1.00,1.00,
Macao,At least 3G,1.00,,1.00,1.00,1.00,1.00,
Macao,At least LTE/WiMAX,0.99,,0.99,0.99,1.00,1.00,
Macao,At least 5G,,,,,0.00,,
Madagascar,At least 2G,0.79,0.80,0.80,0.80,0.88,0.88,
Madagascar,At least 3G,0.64,0.65,0.65,0.65,0.67,0.67,
Madagascar,At least LTE/WiMAX,0.25,0.25,0.25,0.25,0.27,0.27,
Madagascar,At least 5G,,,,,,0.06,
Malawi,At least 2G,0.82,0.84,0.88,0.86,0.86,0.88,
Malawi,At least 3G,0.50,0.54,0.78,0.82,0.84,0.86,
Malawi,At least LTE/WiMAX,0.30,0.30,0.50,0.65,0.69,0.70,
Malawi,At least 5G,,,0.00,0.00,0.00,0.00,
Malaysia,At least 2G,0.96,0.95,0.97,0.97,0.99,0.99,
Malaysia,At least 3G,0.94,0.95,0.96,0.95,0.95,0.97,
Malaysia,At least LTE/WiMAX,0.77,0.80,0.82,0.94,0.95,0.97,
Malaysia,At least 5G,,,,,0.04,0.47,
Maldives,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Maldives,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Maldives,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Maldives,At least 5G,,,,0.37,0.45,0.53,
Mali,At least 2G,0.81,1.00,1.00,1.00,1.00,1.00,
Mali,At least 3G,0.29,0.55,0.60,0.65,0.68,0.70,
Mali,At least LTE/WiMAX,0.00,0.28,0.34,0.45,0.47,0.53,
Mali,At least 5G,,0.00,0.00,0.00,0.00,0.00,
Malta,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Malta,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Malta,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Malta,At least 5G,,,0.00,0.00,0.25,1.00,
Marshall Islands,At least 2G,0.65,,0.65,0.65,0.65,,
Marshall Islands,At least 3G,,,,,,,
Marshall Islands,At least LTE/WiMAX,,,,,,,
Marshall Islands,At least 5G,,,,,0.00,,
Mauritania,At least 2G,0.95,0.96,0.96,0.97,0.97,0.98,
Mauritania,At least 3G,0.42,0.43,0.43,0.44,0.44,0.44,
Mauritania,At least LTE/WiMAX,0.00,0.00,0.00,0.00,0.35,,
Mauritania,At least 5G,,,,,0.00,,
Mauritius,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Mauritius,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Mauritius,At least LTE/WiMAX,0.99,0.99,0.99,0.99,0.99,0.99,
Mauritius,At least 5G,,,,,0.05,0.33,
Mayotte,At least 2G,,,,,,,
Mayotte,At least 3G,,,0.66,0.66,0.66,,
Mayotte,At least LTE/WiMAX,,,,,,,
Mayotte,At least 5G,,,,,0.00,,
Mexico,At least 2G,,0.93,0.96,0.96,0.97,0.96,
Mexico,At least 3G,,0.90,0.95,0.96,0.96,0.96,
Mexico,At least LTE/WiMAX,,0.88,0.90,0.94,0.95,0.95,
Mexico,At least 5G,,0.00,0.00,0.00,0.00,0.19,
Micronesia,At least 2G,0.80,,0.80,0.80,0.80,,
Micronesia,At least 3G,0.15,,0.15,0.15,0.15,,
Micronesia,At least LTE/WiMAX,0.00,,,,0.00,,
Micronesia,At least 5G,,,,,0.00,,
Moldova,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Moldova,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Moldova,At least LTE/WiMAX,0.97,0.97,0.98,0.99,0.99,0.99,
Moldova,At least 5G,,,,,0.00,,
Monaco,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Monaco,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Monaco,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Monaco,At least 5G,,,,1.00,1.00,1.00,
Mongolia,At least 2G,0.99,1.00,1.00,1.00,1.00,1.00,
Mongolia,At least 3G,0.95,0.95,0.96,1.00,1.00,1.00,
Mongolia,At least LTE/WiMAX,0.21,0.45,0.59,0.73,0.99,0.99,
Mongolia,At least 5G,,,,,0.00,,
Montenegro,At least 2G,1.00,1.00,0.99,0.98,0.98,0.98,
Montenegro,At least 3G,0.98,0.98,0.98,0.98,0.98,0.98,
Montenegro,At least LTE/WiMAX,0.98,0.98,0.98,0.98,0.98,0.98,
Montenegro,At least 5G,,,,0.00,0.00,0.76,
Montserrat,At least 2G,,,,,,,
Montserrat,At least 3G,,,0.95,0.95,,,
Montserrat,At least LTE/WiMAX,,,,,,,
Montserrat,At least 5G,,,,,,,
Morocco,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Morocco,At least 3G,0.96,0.98,0.99,0.99,0.99,1.00,
Morocco,At least LTE/WiMAX,0.93,0.96,0.99,0.99,0.99,0.99,
Morocco,At least 5G,,,,,0.00,,
Mozambique,At least 2G,0.80,0.85,0.85,0.85,0.85,0.87,
Mozambique,At least 3G,0.80,0.82,0.82,0.85,0.85,0.85,
Mozambique,At least LTE/WiMAX,0.00,0.33,0.40,0.50,0.50,0.60,
Mozambique,At least 5G,,,,,0.00,0.05,
Myanmar,At least 2G,0.91,0.95,0.96,0.97,0.96,0.96,
Myanmar,At least 3G,0.91,0.94,0.96,0.94,0.94,0.95,
Myanmar,At least LTE/WiMAX,0.30,0.75,0.89,0.94,0.94,0.94,
Myanmar,At least 5G,,,,,0.00,0.00,
Namibia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Namibia,At least 3G,0.53,0.53,0.69,0.89,0.89,0.89,
Namibia,At least LTE/WiMAX,0.39,0.39,0.39,0.39,0.79,0.79,
Namibia,At least 5G,,,,0.00,0.00,0.00,
Nauru,At least 2G,0.98,,0.98,0.98,0.98,,
Nauru,At least 3G,0.98,,0.98,0.98,0.98,,
Nauru,At least LTE/WiMAX,0.30,,0.30,0.30,0.30,,
Nauru,At least 5G,,,,,0.00,,
Nepal,At least 2G,0.93,,0.93,0.93,0.93,,
Nepal,At least 3G,0.54,,0.54,0.54,0.54,,
Nepal,At least LTE/WiMAX,0.16,,0.30,0.45,0.45,,
Nepal,At least 5G,,,,,0.00,,
Netherlands,At least 2G,1.00,1.00,1.00,1.00,1.00,0.99,
Netherlands,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Netherlands,At least LTE/WiMAX,0.99,0.99,0.99,0.99,0.99,0.99,
Netherlands,At least 5G,,,,,0.82,0.99,
New Caledonia,At least 2G,,,,,0.97,,
New Caledonia,At least 3G,,,0.97,0.97,0.97,,
New Caledonia,At least LTE/WiMAX,,,0.80,0.80,0.80,,
New Caledonia,At least 5G,,,,,0.00,,
New Zealand,At least 2G,0.98,0.98,0.98,0.99,0.98,0.99,
New Zealand,At least 3G,0.98,0.98,0.98,0.99,0.98,0.99,
New Zealand,At least LTE/WiMAX,0.94,0.97,0.97,0.98,0.98,0.98,
New Zealand,At least 5G,,,,,,0.18,
Nicaragua,At least 2G,0.69,0.71,0.72,0.72,0.73,0.85,
Nicaragua,At least 3G,0.85,0.85,0.72,0.72,0.72,0.85,
Nicaragua,At least LTE/WiMAX,0.42,0.42,0.42,0.50,0.69,0.73,
Nicaragua,At least 5G,,,,,0.00,0.00,
Niger,At least 2G,0.92,–,0.92,0.92,0.92,,
Niger,At least 3G,0.24,–,0.24,0.24,0.24,,
Niger,At least LTE/WiMAX,0.00,–,0.10,0.15,0.15,,
Niger,At least 5G,,,,,0.00,,
Nigeria,At least 2G,0.93,0.94,0.90,0.91,0.93,0.94,
Nigeria,At least 3G,0.54,0.76,0.74,0.75,0.85,0.87,
Nigeria,At least LTE/WiMAX,,0.22,0.38,0.41,0.62,0.81,
Nigeria,At least 5G,,,,,,,
Niue,At least 2G,,,,,,,
Niue,At least 3G,,,0.20,0.40,0.60,,
Niue,At least LTE/WiMAX,,,0.20,0.40,0.60,,
Niue,At least 5G,,,,,0.00,,
Norfolk Islands,At least 2G,,,,,,,
Norfolk Islands,At least 3G,,,,,,,
Norfolk Islands,At least LTE/WiMAX,,,,,,,
Norfolk Islands,At least 5G,,,,,0.00,,
North Macedonia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
North Macedonia,At least 3G,0.99,1.00,1.00,1.00,1.00,1.00,
North Macedonia,At least LTE/WiMAX,0.96,1.00,1.00,1.00,1.00,1.00,
North Macedonia,At least 5G,,,,,,,
Northern Marianas,At least 2G,,,,,,,
Northern Marianas,At least 3G,,,0.35,0.35,0.35,,
Northern Marianas,At least LTE/WiMAX,,,,,0.10,,
Northern Marianas,At least 5G,,,,,0.18,,
Norway,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Norway,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Norway,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Norway,At least 5G,,,,0.05,0.23,0.82,
Oman,At least 2G,0.99,0.99,0.99,0.99,1.00,1.00,
Oman,At least 3G,0.99,0.99,0.99,0.99,1.00,1.00,
Oman,At least LTE/WiMAX,0.92,0.96,0.96,0.98,0.99,0.99,
Oman,At least 5G,,,,,0.44,0.88,
Pakistan,At least 2G,0.88,0.89,0.89,0.89,0.89,0.89,
Pakistan,At least 3G,0.72,0.73,0.77,0.77,0.78,0.80,
Pakistan,At least LTE/WiMAX,0.67,0.69,0.69,0.69,0.75,0.76,
Pakistan,At least 5G,,,,,0.00,,
Palau,At least 2G,,,,,0.98,0.98,
Palau,At least 3G,,,0.88,0.88,0.88,0.89,
Palau,At least LTE/WiMAX,,,,,,,
Palau,At least 5G,,,,,0.00,,
Panama,At least 2G,0.96,0.96,0.96,0.96,0.96,0.96,
Panama,At least 3G,0.95,0.95,0.95,0.95,0.95,0.95,
Panama,At least LTE/WiMAX,0.33,0.33,0.59,0.65,0.84,0.84,
Panama,At least 5G,,,,0.00,0.00,0.00,
Papua New Guinea,At least 2G,0.89,,0.89,0.89,0.89,,
Papua New Guinea,At least 3G,0.64,,0.64,0.64,0.64,,
Papua New Guinea,At least LTE/WiMAX,0.50,,0.50,0.50,0.50,,
Papua New Guinea,At least 5G,,,,,0.00,,
Paraguay,At least 2G,0.98,0.99,0.99,0.99,1.00,1.00,
Paraguay,At least 3G,0.96,0.98,0.98,0.95,0.95,0.98,
Paraguay,At least LTE/WiMAX,0.58,0.81,0.97,0.93,0.94,0.98,
Paraguay,At least 5G,,,,,0.00,,
Peru,At least 2G,0.83,0.91,0.91,0.88,0.89,0.89,
Peru,At least 3G,0.74,0.86,0.86,0.85,0.87,0.87,
Peru,At least LTE/WiMAX,0.52,0.79,0.79,0.78,0.81,0.81,
Peru,At least 5G,,,0.00,0.00,0.05,0.05,
Philippines,At least 2G,0.99,0.99,0.99,0.99,0.99,,
Philippines,At least 3G,0.93,0.96,0.93,0.96,0.96,,
Philippines,At least LTE/WiMAX,0.80,0.80,0.80,0.80,0.80,,
Philippines,At least 5G,,,,,0.61,,
Poland,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Poland,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Poland,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Poland,At least 5G,,0.00,0.00,0.03,0.23,0.63,
Portugal,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Portugal,At least 3G,1.00,0.99,1.00,1.00,1.00,1.00,
Portugal,At least LTE/WiMAX,0.99,0.99,1.00,1.00,1.00,1.00,
Portugal,At least 5G,,,,,0.35,0.90,
Puerto Rico,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Puerto Rico,At least 3G,0.99,1.00,1.00,1.00,1.00,1.00,
Puerto Rico,At least LTE/WiMAX,,,,0.90,0.90,,
Puerto Rico,At least 5G,,,,,0.49,,
Qatar,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Qatar,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Qatar,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Qatar,At least 5G,,,,0.93,0.96,0.98,
Romania,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Romania,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Romania,At least LTE/WiMAX,0.89,0.93,0.98,0.98,0.99,0.99,
Romania,At least 5G,,,,,0.32,0.32,
Russian Federation,At least 2G,0.91,0.91,0.99,0.99,0.99,0.99,
Russian Federation,At least 3G,0.77,0.78,0.88,0.89,0.96,0.97,
Russian Federation,At least LTE/WiMAX,0.62,0.70,0.88,0.89,0.90,0.93,
Russian Federation,At least 5G,,,,,0.00,,
Rwanda,At least 2G,1.00,1.00,1.00,1.00,0.99,0.99,
Rwanda,At least 3G,0.93,0.97,0.99,0.98,0.99,0.99,
Rwanda,At least LTE/WiMAX,0.89,0.97,0.99,0.98,0.98,0.99,
Rwanda,At least 5G,,,,,0.00,0.00,
Saint Kitts and Nevis,At least 2G,1.00,,1.00,1.00,1.00,,
Saint Kitts and Nevis,At least 3G,1.00,,1.00,1.00,1.00,,
Saint Kitts and Nevis,At least LTE/WiMAX,0.00,,,,1.00,,
Saint Kitts and Nevis,At least 5G,,,,,0.00,,
Saint Lucia,At least 2G,,0.98,0.98,0.98,1.00,,
Saint Lucia,At least 3G,,,,,1.00,,
Saint Lucia,At least LTE/WiMAX,0.00,–,0.20,0.20,0.96,,
Saint Lucia,At least 5G,,,,,0.00,,
Saint Vincent and the Grenadines,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Saint Vincent and the Grenadines,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Saint Vincent and the Grenadines,At least LTE/WiMAX,0.00,0.90,0.90,0.90,0.90,0.90,
Saint Vincent and the Grenadines,At least 5G,,,,,0.00,,
Samoa,At least 2G,0.97,,0.97,0.97,0.97,0.99,
Samoa,At least 3G,0.91,,0.91,0.91,0.91,0.99,
Samoa,At least LTE/WiMAX,0.49,,0.49,0.49,0.49,0.99,
Samoa,At least 5G,,,,,0.00,,
San Marino,At least 2G,0.98,0.98,0.99,0.99,0.99,0.99,
San Marino,At least 3G,0.98,0.98,0.99,0.99,0.99,0.99,
San Marino,At least LTE/WiMAX,0.98,0.98,0.99,0.99,0.99,0.99,
San Marino,At least 5G,,,,,,,
Sao Tome and Principe,At least 2G,0.93,0.93,0.94,0.94,0.94,0.96,
Sao Tome and Principe,At least 3G,0.93,0.93,0.94,0.94,0.94,0.95,
Sao Tome and Principe,At least LTE/WiMAX,0.00,0.00,0.00,0.00,0.00,0.00,0.90
Sao Tome and Principe,At least 5G,,,,,0.00,,
Saudi Arabia,At least 2G,0.99,0.99,1.00,1.00,1.00,1.00,
Saudi Arabia,At least 3G,0.98,0.98,0.99,0.99,1.00,1.00,
Saudi Arabia,At least LTE/WiMAX,0.90,0.93,0.94,0.98,1.00,1.00,
Saudi Arabia,At least 5G,,,0.35,,0.75,0.53,
Senegal,At least 2G,0.98,0.98,0.98,0.99,0.99,0.99,
Senegal,At least 3G,0.66,0.92,0.92,0.99,0.99,0.99,
Senegal,At least LTE/WiMAX,0.37,0.62,0.67,0.75,0.83,0.95,
Senegal,At least 5G,,,,,0.00,,
Serbia,At least 2G,1.00,1.00,0.99,0.99,1.00,1.00,
Serbia,At least 3G,0.99,0.99,0.99,0.99,1.00,1.00,
Serbia,At least LTE/WiMAX,0.94,0.97,0.97,0.98,0.99,0.99,
Serbia,At least 5G,,,,,0.00,0.00,
Seychelles,At least 2G,0.98,0.99,0.99,0.99,0.99,0.99,
Seychelles,At least 3G,0.90,0.99,0.99,0.99,0.99,0.99,
Seychelles,At least LTE/WiMAX,0.90,0.99,0.99,0.99,0.99,0.99,
Seychelles,At least 5G,,,,,,,
Sierra Leone,At least 2G,0.90,0.74,0.80,0.89,0.93,,
Sierra Leone,At least 3G,0.40,0.50,0.76,0.79,0.80,,
Sierra Leone,At least LTE/WiMAX,0.00,,0.35,0.40,0.49,,
Sierra Leone,At least 5G,,,0.00,0.00,0.00,,
Singapore,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Singapore,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Singapore,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Singapore,At least 5G,,,,,0.74,,
Slovakia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Slovakia,At least 3G,0.95,0.95,0.97,0.99,0.99,0.99,
Slovakia,At least LTE/WiMAX,0.92,0.94,0.97,0.99,0.99,0.99,
Slovakia,At least 5G,,,,0.00,0.14,0.55,
Slovenia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Slovenia,At least 3G,0.99,1.00,1.00,1.00,1.00,1.00,
Slovenia,At least LTE/WiMAX,0.99,1.00,1.00,1.00,1.00,1.00,
Slovenia,At least 5G,,,,,0.37,0.64,
Solomon Islands,At least 2G,0.94,0.95,0.95,0.95,0.95,,
Solomon Islands,At least 3G,0.25,0.45,0.45,0.45,0.45,,
Solomon Islands,At least LTE/WiMAX,0.19,0.20,0.25,0.25,0.25,,
Solomon Islands,At least 5G,,,,,0.00,,
Somalia,At least 2G,0.80,0.80,0.80,0.80,0.80,0.80,
Somalia,At least 3G,0.66,,0.70,0.70,0.70,0.70,
Somalia,At least LTE/WiMAX,0.18,,0.25,0.30,0.30,0.30,
Somalia,At least 5G,,,,,0.00,,
South Africa,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
South Africa,At least 3G,0.99,1.00,1.00,1.00,1.00,1.00,
South Africa,At least LTE/WiMAX,0.78,0.90,0.94,0.97,0.98,0.99,
South Africa,At least 5G,,,,0.01,0.17,0.24,
S. Sudan,At least 2G,0.30,0.38,0.48,0.48,0.48,0.48,
S. Sudan,At least 3G,0.15,0.15,0.15,0.15,0.15,0.15,
S. Sudan,At least LTE/WiMAX,0.10,0.10,0.15,0.15,0.15,0.15,
S. Sudan,At least 5G,,,,,0.00,,
Spain,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Spain,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Spain,At least LTE/WiMAX,0.96,0.98,0.99,1.00,1.00,1.00,
Spain,At least 5G,,,,0.79,0.82,0.86,
Sri Lanka,At least 2G,1.00,0.99,0.99,0.99,0.99,0.99,
Sri Lanka,At least 3G,0.88,0.86,0.89,0.96,0.96,0.97,
Sri Lanka,At least LTE/WiMAX,0.48,0.80,0.80,0.96,0.96,0.97,
Sri Lanka,At least 5G,,,,,0.09,0.09,
St. Helena,At least 2G,0.98,–,0.98,0.98,0.98,,
St. Helena,At least 3G,0.97,–,0.97,0.97,0.97,,
St. Helena,At least LTE/WiMAX,0.97,–,0.97,0.97,0.97,,
St. Helena,At least 5G,,,,,0.00,,
St. Maarten,At least 2G,,,,,,,
St. Maarten,At least 3G,,,,,,,
St. Maarten,At least LTE/WiMAX,,,,,0.74,,
St. Maarten,At least 5G,,,,,,,
St. Pierre & Miquelon,At least 2G,,,,,,,
St. Pierre & Miquelon,At least 3G,,,,,,,
St. Pierre & Miquelon,At least LTE/WiMAX,,,,,,,
St. Pierre & Miquelon,At least 5G,,,,,0.00,,
State of Palestine,At least 2G,0.97,0.97,0.97,0.98,0.98,0.98,
State of Palestine,At least 3G,0.00,0.57,0.57,0.55,0.59,0.58,
State of Palestine,At least LTE/WiMAX,,0.00,0.00,0.00,0.00,0.00,
State of Palestine,At least 5G,,,,0.00,0.00,0.00,
Sudan,At least 2G,0.90,0.90,0.91,0.91,0.90,0.92,
Sudan,At least 3G,0.46,0.47,0.56,0.65,0.79,0.79,
Sudan,At least LTE/WiMAX,0.35,0.35,0.35,0.35,0.35,0.35,
Sudan,At least 5G,,,0.00,0.00,0.00,,
Suriname,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Suriname,At least 3G,1.00,0.95,1.00,1.00,0.92,0.95,
Suriname,At least LTE/WiMAX,0.35,0.75,0.85,0.85,0.87,0.82,
Suriname,At least 5G,,,,,,0.15,
Sweden,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Sweden,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Sweden,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Sweden,At least 5G,,,,0.18,0.21,0.57,
Switzerland,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Switzerland,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Switzerland,At least LTE/WiMAX,0.99,0.99,1.00,1.00,1.00,1.00,
Switzerland,At least 5G,,,0.92,0.97,1.00,1.00,
Syrian Arab Republic,At least 2G,0.85,0.88,0.88,0.94,0.98,0.99,
Syrian Arab Republic,At least 3G,0.80,0.88,0.88,0.94,0.97,0.99,
Syrian Arab Republic,At least LTE/WiMAX,0.21,0.35,0.35,0.38,0.42,0.76,
Syrian Arab Republic,At least 5G,,,,,0.00,,
Taiwan,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Taiwan,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Taiwan,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Taiwan,At least 5G,,,,0.45,0.85,0.94,
Tajikistan,At least 2G,0.90,,0.90,0.90,0.90,,
Tajikistan,At least 3G,0.90,,0.90,0.90,0.90,,
Tajikistan,At least LTE/WiMAX,0.80,,0.80,0.80,0.80,,
Tajikistan,At least 5G,,,,,,,
Tanzania,At least 2G,0.95,0.95,0.95,0.95,0.95,0.95,
Tanzania,At least 3G,0.85,0.85,0.85,0.85,0.85,0.85,
Tanzania,At least LTE/WiMAX,0.13,0.13,0.13,0.13,0.13,0.58,
Tanzania,At least 5G,,,,,0.00,0.00,
Thailand,At least 2G,0.98,0.98,0.98,0.99,0.99,0.99,
Thailand,At least 3G,0.98,0.98,0.98,0.99,0.99,0.99,
Thailand,At least LTE/WiMAX,0.98,0.98,0.98,0.98,0.98,0.98,
Thailand,At least 5G,,,,,0.76,0.85,
Timor-Leste,At least 2G,0.97,0.97,0.97,0.97,0.97,0.97,
Timor-Leste,At least 3G,0.97,0.97,0.97,0.97,0.97,0.97,
Timor-Leste,At least LTE/WiMAX,0.20,0.40,0.45,0.45,0.45,0.45,
Timor-Leste,At least 5G,,,,,0.00,,
Togo,At least 2G,0.97,0.97,0.97,0.98,0.98,0.99,
Togo,At least 3G,0.65,0.70,0.91,0.97,0.97,0.99,
Togo,At least LTE/WiMAX,0.00,0.35,0.67,0.67,0.83,0.96,
Togo,At least 5G,,,,,,,
Tokelau,At least 2G,,,,,,,
Tokelau,At least 3G,,,,,,,
Tokelau,At least LTE/WiMAX,,,,,,,
